,track_id,track_title,cluster_id
642,893,The Gathering,5
645,896,2012,4
651,902,Lethe,1
656,907,All I Have To Say,1
660,911,Come And See,7
661,912,Come On,1
663,914,Go Ahead,4
668,919,Here We Stand,1
669,920,Hey Hey Hey,7
674,925,I Wanna Be The One,7
683,934,More,0
687,938,On And On,3
688,939,Open Your Eyes,3
690,941,Ready Steady,3
692,943,Soda Pop,1
696,947,Sweet Taste,0
697,948,The Opposite,4
709,960,What Do You Think?,7
711,962,With Me,1
719,970,You Got It,5
720,971,You Got Me,0
748,1000,Bless You,4
760,1017,Inheritance,4
780,1037,Untitled,7
782,1039,13 Monsters,0
783,1040,Dracula Mountain,4
793,1050,Electric World,5
796,1058,Credo,4
806,1069,Un Lagrima en la Discoteca,6
821,1084,_,1
840,1105,Song 1,0
841,1106,Up With People,0
842,1107,Song 3,4
847,1116,Nautilus,7
849,1118,Black Hole,4
855,1124,Think of Me,0
860,1129,Oscillator,3
876,1149,Sea Monkeys,7
877,1150,Model Citizen,7
878,1151,Desperado,4
884,1157,Bombshell,7
886,1159,Lovesick,0
894,1167,Lazy Suicide,7
895,1168,Insomnia,4
898,1171,Black Market,4
899,1172,Too Late,4
904,1177,Queen Bee,6
906,1179,Shoes,7
914,1187,Black Pearls,4
917,1190,Up,0
919,1192,Disorder,0
943,1217,Track 2,3
948,1222,Track 3,4
951,1225,Starlight,5
953,1227,Track 5,7
955,1229,Track 6,7
957,1231,Lost,4
958,1232,Running,7
996,1271,Give Up,2
997,1272,No Chance,0
1003,1278,Downloading,6
1006,1281,Control,5
1008,1283,Ghost,4
1017,1292,Pirate Radio,1
1018,1293,Carpenter,5
1022,1297,White Walls,4
1066,1341,Evil,7
1073,1348,Untitled 2,4
1085,1362,30 Seconds,7
1086,1363,All Dressed Up,4
1087,1364,Time Has Come,4
1092,1369,Downtown,4
1093,1370,Roll Over,4
1094,1371,The Collector,4
1096,1373,Ballad,7
1098,1375,Open Wide,4
1100,1377,untitled,1
1103,1381,Dead Living,0
1104,1382,Lady Love,0
1106,1384,Drowsy Maggie,6
1113,1418,Caroline,4
1115,1420,Shades,7
1116,1421,The Wait,7
1137,1443,Time Fist,7
1146,1479,Little One,0
1147,1480,Power,0
1150,1483,Center,1
1151,1484,Feeder,3
1154,1487,Escape,0
1155,1488,Transit,4
1176,1510,Zombie,0
1184,1518,I Don't Care,7
1185,1519,Watch Out,7
1186,1520,Sold,7
1188,1522,Getting Older,7
1189,1523,Michael,4
1194,1528,Driving,0
1200,1534,Retirement Song,0
1208,1542,Sister Silver,3
1209,1543,Taste The Candy,0
1213,1547,The Double,7
1221,1555,Soaked,5
1228,1562,Garden,7
1235,1569,Dialogue,2
1254,1589,Track 14,4
1258,1593,Cold,0
1261,1596,Figure It Out,4
1270,1605,Five Years,4
1279,1614,Sun Up,0
1281,1616,Emergency Room,4
1305,1640,Mother,0
1308,1643,Casablanca,0
1309,1644,Outskirts,0
1320,1663,So High,7
1358,1701,Clouds,7
1361,1704,Morning Song,7
1362,1705,Underscore,5
1385,1730,Beast,4
1389,1734,Spirals,2
1392,1737,13,0
1397,1742,Laid Back,4
1399,1744,Evolution,4
1404,1749,The Barn,5
1423,1780,Another Planet,0
1439,1796,Cemetery,6
1442,1799,Beach Ball,3
1449,1806,The Secret,4
1462,1819,Lamb,0
1465,1822,Beach Baby,4
1466,1823,Mr. Man,3
1486,1860,Between,0
1487,1861,Babies,4
1499,1874,Understand,2
1502,1877,Cognitive Dissonance,2
1507,1882,Don't Blame Me,4
1508,1883,I Do What I Do,4
1509,1884,I Found Love,4
1512,1887,Wandering,7
1515,1890,Quadrospazzed,7
1518,1893,Memories,7
1524,1900,Sterling,6
1534,1916,Fall Away,4
1538,1920,Roll On,4
1564,1946,Shamanix,4
1581,1963,Voodoo,1
1584,1966,You're My Thrill,1
1594,1976,3,5
1595,1977,8,5
1606,1988,Miami,0
1610,1992,Mobile,7
1612,1994,Baltimore,3
1628,2010,Green Eyes,4
1637,2021,04,0
1650,2081,Black And White,0
1658,2102,Untitled 3,7
1659,2103,Untitled 4,0
1660,2104,Untitled 5,7
1664,2108,Untitled 9,4
1679,2128,Corsair,6
1680,2129,Ode,6
1687,3259,The Wrestle,4
1694,3266,Land,1
1697,3269,Bullet Train,4
1699,3271,Beirut,5
1701,3273,Redbird,5
1705,3278,Calm Me Down,3
1708,3284,All My Friends,4
1710,3286,Death,7
1724,3322,Fired Up,4
1726,3324,Outro,7
1735,3353,Crystal Clear,4
1742,3360,A Little More Time,4
1747,3365,Blackwaterside,2
1770,3403,Higher,4
1772,3405,Less Is More,4
1773,3406,Media,4
1775,3408,Tell Me,3
1776,3409,I Don't Wanna Die,4
1777,3424,Interview,7
1778,3425,Nothing Really,5
1780,3427,Bittersweet,5
1784,3431,Throwaway,5
1785,3432,SOS,5
1789,3443,Dry Bones,4
1799,3453,Bamboo,3
1804,3458,Body Double,0
1807,3461,Let It Rock,7
1809,3463,Clear Blue Sky,7
1810,3464,She,7
1811,3465,Birmingham Jail,7
1815,3469,Zig Zag,7
1818,3472,People Talk,4
1819,3473,When Tomorrow Comes,7
1824,3478,Over Again,7
1848,3504,Black Baby,4
1850,3514,Prelude,4
1851,3515,The Ship,7
1865,3538,Say You Will,1
1874,3547,The City In The Sea,7
1876,3551,Part 1,4
1877,3552,Part 2,4
1878,3553,Part 3,7
1881,3557,My Name Is Robert,4
1904,3583,Sabotage,4
1905,3584,Spectacle,7
1918,3597,Gibraltar,5
1919,3598,Little Eyes,1
1923,3603,Houdini,0
1925,3605,Trouble,4
1936,3618,Happy Times,7
1938,3620,Shining,7
1939,3621,Repetition,4
1940,3622,High and Dry,7
1950,3634,Crybaby,0
1952,3636,National Jamthum,0
1957,3647,Cindy,4
1967,3657,Birdsong,7
1968,3658,Bastards,4
1975,3665,Cave In,4
1976,3666,Crosswords,4
1990,3685,Get It Straight,4
1995,3690,Tonight We Ride,7
2014,3710,Rise and Fall,5
2015,3711,Gone,5
2023,3719,When I Lay My Burden Down,7
2025,3721,Pow Wow,5
2026,3722,Swans,7
2042,3741,Wave Goodbye,4
2045,3744,Words,7
2052,3751,Lupus,4
2055,3754,Sonnet,0
2060,3760,Sweet Home Alabama,0
2068,3768,It's Alright,7
2069,3769,Space Forklift,5
2077,3777,Volant,0
2085,3785,Sugar Hill,7
2088,3788,The Butcher,7
2091,3791,Sacrifice,4
2092,3792,Sunday,6
2093,3793,Take It All,4
2094,3794,Fall From Grace,4
2098,3799,Charmed Life,3
2110,3811,My Baby,4
2115,3816,Bright Lights,4
2127,3829,Part 04,7
2139,3841,Unknown,1
2150,3852,Tick,7
2153,3855,High Society,0
2154,3856,Hope,4
2155,3857,Fear,4
2158,3861,Dinosaurs,1
2160,3863,Ja Ja Ja,4
2174,3880,Crawling,7
2178,3884,Rainbow,7
2184,3890,I Was Wrong,4
2196,3904,Sometimes,5
2207,3916,I'm A Cloud,1
2209,3918,Trees,5
2212,3921,Hiawatha's Lullaby,7
2225,3934,Black Balloon,0
2226,3935,Watch Yourself,4
2235,3944,Lie,4
2236,3945,Searchers,4
2238,3947,Up All Night,4
2245,3955,Black Tears,0
2254,3964,I Believe,7
2261,3971,Leaving Here,7
2262,3972,I Am With You,7
2263,3973,Big Bang,4
2264,3974,Mountain Mist,4
2265,3975,Crows,4
2266,3976,Enemy,4
2268,3978,Tongues,4
2270,3980,Predator,4
2271,3981,Sleepwalkers,0
2272,3982,The Guest,4
2282,4001,No Contest,4
2285,4004,Born To Lose,4
2302,4021,Lost Cause,4
2305,4024,Hypocrite,4
2308,4027,Tied Down,0
2309,4028,Evacuate,0
2310,4029,Your Mistake,0
2313,4032,Nothing,7
2316,4035,Solitary Confinement,3
2321,4040,The Lodger,7
2337,4072,Tatuaje,0
2350,4085,Down & Out,5
2355,4090,Husk,5
2358,4093,Amsterdam,4
2361,4096,La Fin Du Monde,7
2375,4110,Quasar,4
2377,4112,Can't Get Enough,0
2379,4114,Crystals,0
2386,4122,Holiday in Congo,4
2388,4124,I Know I See I Love I Go,7
2391,4127,Walk The Plank,4
2400,4151,Sans Souci,1
2407,4160,Black Metal,3
2417,4171,Shaka,1
2432,4186,Monster Truck,4
2444,4198,Latin,7
2445,4199,Stories,7
2452,4206,Tennessee,7
2456,4210,Pony,7
2462,4216,On and On,4
2466,4220,Reptile,7
2471,4225,Undertow,7
2474,4228,Fools Gold,7
2475,4229,All One,5
2490,4245,Out of This World,4
2493,4249,Sustain,4
2496,4252,Halloween,4
2498,4254,Drought,4
2522,4279,Cinnamon,5
2526,4284,Destroyed,4
2528,4296,Let Me Know,0
2530,4298,I Want You,3
2535,4303,No Reason,4
2539,4307,Never Again,4
2540,4308,The Ring,0
2541,4309,Useless,4
2542,4310,Yeah,0
2543,4311,Here We Are,4
2544,4312,Right Here,4
2545,4313,The Warning,0
2547,4316,Intro,7
2555,4344,Be Your Man,0
2557,4346,Give It Up,0
2558,4347,Peggy Sue,0
2559,4348,Girls,0
2562,4363,Summer Breeze,4
2564,4365,Hearts,4
2565,4366,Primitive,4
2566,4367,Two,4
2568,4369,I'm On,4
2575,4376,Detroit,4
2576,4377,Little Man,4
2586,4387,I Am One,0
2588,4389,Wake Up,4
2595,4397,Only One,0
2609,4411,Ink,3
2610,4412,Suddenly,3
2616,4418,Rise Up,0
2625,4427,Redemption Song,0
2629,4431,Alexander The Great,4
2631,4433,Mausoleum,4
2641,4443,Glaciers,4
2643,4445,Heart On Fire,5
2644,4446,Seasons,5
2648,4451,Finale,1
2662,4466,Sex,4
2665,4469,Strip Club,7
2682,4486,Swine,4
2683,4487,Cross My Heart,7
2688,4492,American Dream,7
2696,4500,Radiate,4
2699,4503,Don't Be Afraid,4
2700,4505,Metal,7
2713,4519,Golden,7
2723,4536,I Can't Tell In His Eyes,0
2724,4537,The Window,4
2725,4538,There Is No Light,0
2726,4539,Lost Love,1
2727,4540,Doubt/Hope,0
2730,4543,Violent,7
2748,4691,Desert Song,0
2750,4693,Seven Sisters,3
2752,4695,Intervention,5
2754,4697,Buzzards,3
2760,4703,Title,4
2770,4715,Harmony,4
2774,4719,Thank You,7
2776,4721,Little Shoes,7
2777,4722,The House,3
2784,4741,Get Along,7
2791,4748,Old,5
2793,4750,He Calls That Religion,7
2794,4751,Backwards,4
2798,4755,Pissing,7
2803,4760,Candy Girl,5
2804,4761,Murderer,5
2805,4762,Pretty People,7
2810,4767,Tonight,1
2812,4769,Walk Into The Sea,7
2813,4770,Breaker,0
2814,4771,Canada,7
2820,4777,Firecracker,4
2821,4778,Too Much Fun,4
2822,4779,Secret Admirer,4
2824,4781,No Big Deal,4
2827,4784,Rosemary's Baby,4
2831,4788,Fire To Burn,4
2844,4801,War,4
2845,4802,Shame,4
2846,4803,Old Glory,7
2847,4804,The Anvil Will Fall,7
2848,4827,Fractured Skies,0
2849,4828,Solemn Show World,0
2850,4829,The Gold We're Digging,4
2851,4830,New Crimes,0
2855,4834,Mount Misery,4
2856,4835,Steak,4
3006,4991,(Untitled),5
3007,4994,Mercy,0
3027,5018,Nina,7
3056,5049,Far From Home,1
3057,5050,Forever,7
3059,5052,Make It Last,1
3060,5053,On the Road,6
3067,5060,Estrella,6
3076,5082,Odessa,7
3078,5084,Dog,7
3079,5085,Last Day,5
3080,5087,Diorama,7
3085,5092,Swimming,7
3086,5095,Boston,4
3092,5102,Tomorrow Never Comes,0
3093,5103,Real Thing,0
3094,5104,Shake Some Action,0
3112,5155,Lysine,0
3113,5156,Circles,5
3114,5157,Copenhagen,5
3116,5159,Christiania,5
3124,5167,Kill The President,4
3126,5170,Labyrinth,5
3127,5171,Cover Up,7
3129,5176,Baby Don't Do It,4
3131,5178,Which Way Is Up?,4
3133,5180,It's Time,4
3136,5183,You Lose,7
3139,5187,Take A Look,4
3143,5191,Say What You Feel,4
3152,5201,Steal Away,5
3157,5222,By the Way,7
3162,5237,Out Of Order,4
3163,5238,Terminal Boredom,4
3164,5239,No No No,4
3165,5240,Nervous Habits,4
3167,5242,Prove It,0
3170,5245,Fall To Pieces,4
3172,5258,Young Hearts,4
3179,5270,Spiritual Healing,6
3180,5271,Are You?,4
3181,5272,Taste,4
3182,5273,She Walks,4
3186,5277,Home Again,1
3188,5279,No Ceiling,7
3191,5283,Walk On,0
3195,5287,Stranger,4
3213,5311,Tropical,3
3217,5318,Heaven On Earth,0
3235,5376,The Clouds,5
3240,5381,Hartford,5
3251,5405,Birmingham,7
3254,5408,Can't Say No,4
3255,5409,Relentless Machines,7
3266,5517,Philosophy Of The World,4
3272,5562,Why Am I Here,0
3276,5570,You And Me,4
3278,5572,Signal,4
3279,5573,Records,1
3284,5601,A Whiter Shade Of Pale,7
3287,5619,Greetings,4
3296,5866,If I Knew,4
3303,5873,Travel Agent,4
3306,5878,Cockroach,4
3311,5918,Cayenne,5
3313,5921,Bury You Alive,4
3314,5922,Final Solution,7
3317,5936,Traveling,5
3319,5940,When It Rains,5
3322,5965,Love Comes Close,7
3325,5986,Put Your Hands Together,4
3332,5993,I Don't Wanna Know,0
3333,6001,In Your Dreams,0
3335,6003,Cap'n Jack,5
3337,6173,Mariposa,7
3349,6274,New,0
3351,6276,New Guitar,0
3387,6393,Rumor,4
3391,6397,Backyard,7
3406,6439,Crossover,7
3407,6440,Rampage,7
3408,6442,Richter Scale,4
3409,6443,Music,7
3410,6448,Please Listen To My Demo,7
3425,6517,Stars,7
3426,6519,Somebody To Love,7
3427,6520,Hole In The Sky,5
3428,6522,I Can't Go For That,7
3432,6527,Memorial Day,4
3437,6533,Orange County,4
3439,6536,Encore,4
3440,6537,Spilled Milk,4
3443,6565,Dreamers,5
3455,6589,Part 6,7
3457,6592,Part 7,7
3465,6602,The Hit,7
3466,6603,The Woods,4
3468,6605,Bad Weather,4
3470,6607,The World,4
3479,6632,Pockets,0
3480,6633,Eyes,0
3488,6654,Jupiter,3
3490,6656,October,3
3496,6663,Something Good,0
3497,6664,Timeline,2
3509,6677,Index,0
3510,6678,Notes,2
3513,6681,Afterword,0
3514,6682,Works Cited,7
3516,6684,Preface,3
3517,6713,Acknowledgements,5
3521,6718,Monuments,7
3529,6728,Love Train,3
3534,6733,Branches,5
3560,6775,Karaoke,5
3581,6796,Production,4
3583,6798,Coils,4
3599,6832,Istanbul,7
3616,6858,Satisfied,5
3618,6860,Decade,5
3622,6864,Homeless,1
3623,6865,Song For Mary,0
3660,7047,Swords,0
3666,7063,Here Comes Trouble,4
3667,7064,Rats,4
3668,7065,Head Over Heels,4
3674,7071,Noise,4
3675,7073,Fun City,4
3685,7118,Dance,7
3705,7181,I Was Only Kidding,5
3708,7193,Love,0
3712,7197,Paranoia,7
3713,7198,Intermission,7
3714,7199,Around the World,7
3717,7202,Impossible,4
3723,7208,Set Me Free,4
3726,7211,Ride,3
3729,7259,Body Language,0
3730,7260,Flash,0
3736,7328,Pay Attention,7
3748,7341,Delta,7
3753,7347,Make Yourself At Home,7
3776,7394,Oh My,7
3777,7395,Listen To The Music,7
3780,7398,Self Love,7
3785,7404,Thirsty,7
3788,7407,Peoples,7
3797,7430,Imagine,7
3810,7452,Here It Comes,7
3811,7453,Yeah Yeah,7
3812,7454,Banter,4
3815,7457,Hide and Seek,4
3819,7461,Swallowtail,4
3835,7477,Could Be Worse,7
3836,7478,Gettin Up,7
3849,7492,In the Dark,1
3855,7498,Flying,4
3863,7527,With You,0
3864,7528,Game,0
3877,7549,Second Movement,4
3891,7659,Introduction,1
3896,7664,Do You Love Me,0
3906,7674,End,7
3909,7711,The Way,5
3912,7714,Casanova,7
3934,7779,Dust,1
3943,7803,Part Two,7
3952,7838,Wax Museum,4
3956,7842,Vegetable,4
3958,7844,Sore Eyes,4
3967,7853,Rodeo,4
3970,7866,Dedicated,4
3972,7868,Drive Me Crazy,4
3973,7869,Chocolate,7
3974,7870,Count Me Out,4
3975,7871,Sick,7
3976,7872,Saved,4
3978,7874,Hustler,7
3980,7876,Black Betty,7
3982,7892,Stay,7
3983,7893,Jackie Wood,4
3984,7894,Talk,4
3986,7896,Atlantis,4
3988,7898,Cougars,7
3989,7899,Dave,4
3990,7900,Anything,4
3991,7901,Hole,4
3996,7932,Graduation Day,7
4003,7939,Beautiful Day,5
4012,7957,Everybody Lies,7
4017,7968,Lotus,5
4018,7969,Amazing,5
4021,7972,Like A Virgin,5
4024,7995,Cage Those Pythons,4
4029,8018,Take It Slow,4
4034,8023,In the End,4
4036,8025,Break the Ice,4
4040,8056,Get It While You Can,4
4041,8057,Sun Is Shining,4
4042,8058,By My Side,4
4044,8061,Ode To A Black Man,0
4062,8142,Hand of God,7
4109,8210,Psychopath,3
4114,8215,Warrior,2
4115,8216,The Goodbye Song,2
4121,8261,Black Diamond,7
4168,8345,Walter,7
4171,8348,The Last Day,1
4192,8370,Track 15,4
4207,8392,Track 7,4
4208,8393,Track 8,7
4209,8394,Track 9,5
4236,8450,Bell,4
4237,8451,Skull,0
4240,8454,Fun,4
4241,8455,Lights Out,4
4242,8489,When I'm Gone,4
4243,8490,Blackout,4
4244,8491,Black Girl,4
4245,8492,If I Fell,4
4246,8493,Thin Air,4
4247,8494,Bright Side,4
4250,8497,Hollywood,4
4269,8547,So Simple,6
4281,8559,Visitor,6
4294,8575,Love Me Anyway,7
4306,8628,Zodiac,0
4307,8629,Marionette,0
4310,8632,Drunk,0
4312,8634,Igloo,0
4313,8635,Alcohol,0
4314,8636,Nightingale,0
4328,8650,Honey Pie,4
4331,8653,Stargazing,0
4332,8654,Rock Lobster,3
4337,8659,Bumble Bee,4
4338,8660,Candle,0
4345,8667,Indonesia,4
4394,8843,Jungle Jim,0
4412,8861,Father and Son,7
4413,8862,So Long,1
4441,8925,Ground Zero,7
4445,8929,Rise Above,7
4448,8932,The Moan,7
4458,8942,Jump Up,5
4459,8943,Art,5
4463,8947,Come On Over,7
4471,8956,Fire!,7
4480,8973,I Had A Dream,5
4481,8974,True Love Will Find You In The End,5
4485,8983,Friendly Fire,7
4490,8988,How Many Times?,7
4491,8989,Golden Seal,7
4649,9152,1991,6
4692,9214,Unicorns,4
4693,9215,Maya,0
4711,9244,Song,0
4712,9245,Too Soon,7
4722,9255,Baby Please,7
4727,9260,White Flag Blues,7
4735,9268,Ladybugs,0
4788,9321,One,7
4792,9325,Four,5
4794,9327,Three,7
4803,9336,Dearth,0
4804,9337,Alabaster,0
4806,9339,Coastline,4
4821,9356,Pangaea,5
4836,9372,Susan,4
4856,9392,Heart Failure,5
4857,9393,Nuclear Winter,3
4872,9408,Image,5
4875,9411,Acceptance,5
4876,9412,Home,5
4890,9426,Piggly Wiggly,0
4940,9480,1999,6
4955,9510,Mary Mack,6
4958,9513,Cold Water,4
4959,9514,If I Had A Hammer,4
4961,9516,Norwegian Wood,4
4962,9517,Dandy,4
4963,9518,Henry The 8th,4
4968,9524,Spring,4
4974,9534,Eternity,4
4991,9551,Torque,6
4996,9556,Static,4
4997,9557,Moan,7
5000,9560,Fortune,7
5023,9654,My Friends,4
5028,9659,Modern Man,4
5033,9664,Contagious,0
5034,9665,A Window,5
5065,9701,The Show Is Over,7
5070,9707,Mike,1
5079,9734,Warm Up,7
5080,9735,Airplanes,4
5083,9738,The Crawl,4
5087,9742,Metro,4
5097,9753,Just Like That,3
5100,9773,Feedback,7
5101,9778,Broken English,0
5104,9789,Science Fiction,0
5115,9807,Gone To Hell,7
5121,9814,Opening,5
5122,9815,Break,4
5127,9821,Small Song,5
5131,9828,Magic City,7
5132,9829,Sleeper Cell,1
5154,9887,All I Ever Wanted,5
5157,9890,Amelia,7
5169,9909,Reconstruction,7
5176,9919,Rabbit,2
5177,9921,Yummy,3
5178,9922,Stupid,6
5179,9924,Je Suis,0
5180,9925,You Changed My Life,7
5183,9928,Turn Around,1
5185,9930,Get On Your Knees,0
5186,9931,Please Please Please,1
5189,9934,Gravity,1
5191,9936,Monster,1
5204,9956,Memory Man,3
5206,9959,Monotone,1
5210,9963,Double Vision,0
5229,9985,Bug,0
5234,9990,Dog Days,0
5235,9991,Bone China,0
5239,9995,El Dorado,0
5241,9997,Diving,3
5244,10000,Vena Cava,0
5246,10002,Animal,0
5253,10009,Machine Gun,0
5260,10016,I Am A Man,7
5262,10018,Animals,3
5265,10021,Evidence,0
5291,10048,Roses,0
5292,10049,Kicks,0
5293,10050,Diamond,0
5302,10059,The Good Life,1
5308,10080,Track One,3
5367,10149,Visit Colonel,4
5371,10155,Grease,7
5372,10157,Poison Finger,4
5373,10160,It Killed Mom,4
5375,10165,Ghost In The Trees,4
5380,10180,Grease 2,7
5425,10234,Headache,0
5427,10236,Kurosawa,1
5432,10241,Habitat,0
5442,10251,Megalomania,5
5480,10346,Everybody Wants Some,7
5497,10377,Abandoned,5
5511,10404,Fandango,4
5514,10407,I'll Be There,3
5518,10411,Crazy,7
5519,10412,Gloomy Sunday,6
5522,10415,Prisoner,5
5532,10429,Libertad,7
5559,10458,Highway,5
5562,10461,Johnny,6
5565,10473,This Is My Time,5
5567,10475,Land Ho!,5
5586,10497,Made Of Stone,7
5628,10541,.,2
5671,10589,The Ghetto,7
5676,10594,Guilty,5
5680,10598,Mirage,4
5682,10600,Last Sunday,7
5684,10602,Rumble With The Gang Debs,7
5685,10603,Our Days In Kansas,7
5687,10605,Josie,7
5694,10616,You Make Me Die,7
5696,10618,I Remember,4
5705,10627,Future,0
5717,10643,Tonka,1
5733,10671,Discipline,3
5735,10673,Head Down,7
5736,10674,Lights in the Sky,5
5739,10677,Demon Seed,0
5791,10733,Dying Day,7
5797,10739,Rose,4
5828,10797,Please Don't Die,6
5833,10802,Eye In The Sky,7
5835,10804,Hope For The Future,4
5849,10824,Roller Coaster,4
5851,10826,Prize Fighter,4
5853,10828,Fire Engine,4
5854,10829,Night Brigade,4
5863,10845,Fall Guy,4
5868,10880,Timing,4
5871,10883,Don't Follow Me,4
5872,10884,Y.O.Y.,4
5877,10930,Between The Lines,6
5879,10932,Smile,6
5880,10933,Phoenix,6
5881,10934,Just One Thing,6
5882,10935,Side By Side,3
5889,10942,Hush,7
5921,10991,1985,7
5943,11033,Truth,6
5944,11034,Always The Same,0
5946,11036,Don't Believe,6
5957,11051,Beacon,5
5966,11077,Rainy Day,4
5969,11081,No End In Sight,4
5972,11084,Young And Old,7
5974,11086,Baiting the Public,4
5975,11087,Crucified,7
5976,11088,Inertia,0
5977,11089,Surrender,7
5980,11092,Slipping Away,0
5982,11094,Paralyzer,4
5983,11095,What A Waste,4
5985,11097,Confirmation,7
5986,11098,Runaways,4
5988,11100,No Control,0
5999,11111,The News,5
6009,11122,Bubbles,3
6011,11124,In Love,0
6012,11125,Breath,1
6014,11127,Anger,0
6017,11130,Prayer,7
6018,11131,Out Of Tune,7
6019,11132,False Alarm,0
6021,11134,Happiness,0
6036,11165,i,6
6042,11181,1,5
6043,11182,2,4
6045,11184,4,4
6046,11185,5,5
6055,11206,Elles,0
6083,11257,Signs,5
6086,11261,India,7
6089,11264,My Fair Lady,0
6093,11268,Fake French,4
6113,11304,Tomorrow,4
6114,11305,Barbara Allen,6
6115,11306,Inspiration,3
6136,11333,Instrumental,4
6156,11357,Announcement,3
6164,11367,Mistake,4
6189,11413,Werewolf,7
6209,11437,Toast,4
6218,11446,Life Boat,0
6233,11471,Diamonds,5
6235,11477,Kisses,6
6251,11493,Banks Of The Ohio,0
6253,11495,Love Canal,3
6258,11500,Customer Service,0
6269,11511,Black Like Me,5
6290,11532,Something's Changed,5
6291,11533,You're Mine,5
6298,11540,[Hidden Track],5
6300,11542,Disturbance,5
6302,11544,Radiation,7
6303,11545,The Dark,7
6306,11548,Reborn,4
6315,11559,Live For Today,0
6317,11561,Sunny Day,7
6348,11592,Tradition,4
6350,11594,Free Will,7
6353,11597,Silence,5
6372,11623,Duck,7
6375,11626,Small,5
6378,11629,Daisy Cutter,7
6382,11633,Ice Age,0
6384,11635,Strangler,4
6386,11637,Listen To Me,4
6389,11640,Run Away,7
6391,11642,Secrets,0
6406,11661,Antibodies,0
6409,11664,Alienated,4
6417,11673,El Arco Iris,4
6419,11675,La Sombra,7
6423,11679,Ruleta Rusa,3
6430,11686,Go Down,7
6431,11687,Louisiana,7
6433,11689,Come Back To Me,3
6448,11713,Spirits,7
6460,11726,Sand,5
6462,11728,Frost,5
6502,11782,Acapella,3
6533,11813,Hey Young World,0
6539,11819,Just Fine,0
6541,11821,Do What It Do,6
6542,11822,Press Play,4
6543,11823,Release,4
6544,11824,Let's Do It,0
6580,11871,It's True,4
6581,11872,Pedestal,4
6585,11876,Damn,0
6588,11879,All For Nothing,1
6592,11883,Something New,3
6601,11892,Yo,0
6607,11898,What Ya Want,6
6621,11934,Do It Right,3
6624,11937,Wir können auch anders,2
6628,11941,White Flag,0
6631,11945,Anchors Aweigh,4
6632,11946,The Star Spangled Banner,4
6633,11947,Yankee Doodle,4
6636,11950,Swanee River,1
6645,11977,Pulse,4
6647,11979,Black Gloves,5
6650,11982,Countach,4
6675,12009,Conclusion,1
6680,12017,Trace,5
6682,12019,Riots,6
6705,12043,Different,0
6707,12046,Well Water,7
6715,12054,Over,0
6717,12056,Clear,1
